Lemma,poscode,surface
"Dhollandia Brasil - Plataformas Elevatorias Ltda.",3,
"Hemogram-industria E Comercio De Prod. Hospital. Ltda.",3,
"Tecnopackaging Importacao E Exportacao Ltda",3,
"Mp Mezzo Industria E Comercio De Calcados Ltda - Me",3,
"Godoy & Lautenschlaeger Industria Mecanica, Comercio, I",3,
"Tudo Reto Do Brazil Comercial Importadora E Exportadora",3,
"Pejumel Comercio E Distribuidora De Produtos Quimicos E",3,
"Caviar Brasil Produtos Alimenticios Ltda - Me",3,
"Ncs Industria E Comercio De Equipamentos Para Saude Ltd",3,
"Industria Quimica River Eireli",3,
"Allparts Industria De Plasticos Ltda. - Epp",3,
"Madeireira Baldan Ltda",3,
"Nitro 1000 Industria E Comercio De Produtos Agropecuari",3,
"Devintex Cosmeticos Ltda",3,
"Helvetia Etiquetas E Tecidos Ltda.",3,
"Castro & Machado Confeccoes Ltda - Me",3,
"Ebenezer Transportes Logistica Comercio Exportacao Impo",3,
"Prodromus Comercio De Equipamentos Para Automacao Ltda",3,
"Tapmatic Do Brasil Industria E Comercio Ltda",3,
"Solabeller Industria E Comercio De Solados Ltda - Epp",3,
"Tekbra Do Brasil - Comercio E Tecnologia Em Processo De",3,
"Intermec Industria E Comercio Ltda",3,
"F. Da Silva Toledo Metais - Epp",3,
"Marcelo Tellechea Cairoli",3,
"Nilbrasil Industrial Ltda - Me",3,
"Bp Interways Comercio E Representacao Internacional Ltd",3,
"Chinvest Comercio Importacao E Exportacao Ltda",3,
"R. C. Deotti Industria De Calcados Eireli",3,
"Molina Comercial Importadora E Exportadora Ltda - Me",3,
"Interchange Veterinaria Industria E Comercio S.a.",3,
"Bueno & Cia Ltda - Epp",3,
"Wittel Comunicacoes Ltda",3,
"First in Technology Solutions Assistencia Tecnica Ltda.",3,
"Smg Industrial Ltda",3,
"Americanpet Industria Comercio Importacao E Exportacao",3,
"M F S Mantoanelli - Epp",3,
"Norte Salineira Sa Ind E Com Norsal",3,
"Itaunas Marmores E Granitos Ltda - Me",3,
"Multi-carga Comercial Ltda",3,
"Central De Cooperativas Copacaju",3,
"Metalurgica Ventisilva Ltda",3,
"Coerencia Comercio E Exportacao De Brindes Ltda - Me",3,
"Ht Cabos E Tecnologia Ltda",3,
"Borracha Do Brasil Industria E Comercio Ltda",3,
"Lubrisint Lubrificantes Sinteticos Especiais Ltda",3,
"Vsb Export Do Brasil Ltda - Epp",3,
"Metalmeth Equipamentos Ltda",3,
"Imperial Wall Pedras Ltda",3,
"Silicone: Industria E Comercio De Silicone, Instrumento",3,
"Scheffer Equipamentos Para Panificacao Eireli - Epp",3,
"Belmont Trading Comercial Exportadora Ltda.",3,
"Maruere Madeiras Eireli - Me",3,
"Usicomp - Ferramentaria E Industria De Pecas Ltda",3,
"Patoge Industria E Comercio S/a",3,
"Terra Moria Ltda - Me",3,
