lemma,poscode,surface
Acre,3,AC
Alagoas,3,AL
Amapá,3,AP
Amazonas,3,AM
Bahia,3,BA
Ceará,3,CE
Distrito Federal,3,DF
Espírito Santo,3,ES
Goiás,3,GO
Maranhão,3,MA
Mato Grosso,3,MT
Mato Grosso do Sul,3,MS
Minas Gerais,3,MG
Pará,3,PR
Paraíba,3,PB
Paraná,3,PR
Pernambuco,3,PE
Piauí,3,PI
Rio de Janeiro,3,RJ
Rio Grande do Norte,3,RN
Rio Grande do Sul,3,RS
Rondônia,3,RO
Roraima,3,RR
Santa Catarina,3,SC
São Paulo,3,SP
Sergipe,3,SE
Tocantins,3,TO
