name	continent	iso_country	iso_region	municipality	iata_code
Oksapmin Airport	OC	PG	PG-SAN	Oksapmin	OKP
Komako Airport	OC	PG	PG-GPK	Komako	HOC
Komaio Airport	OC	PG	PG-GPK	Komaio	KCJ
Pangoa Airport	OC	PG	PG-WPD	Pangoa	PGB
Mapoda Airport	OC	PG	PG-WPD	Mapoda	MPF
Pumani Airport	OC	PG	PG-MBA	Pumani	PMN
Sopu Airport	OC	PG	PG-CPM	Sopu	SPH
Sialum Airport	OC	PG	PG-MPL	Sialum	SXA
Karimui Airport	OC	PG	PG-CPK	Karimui	KMR
Maramuni Airport	OC	PG	PG-EPW	Maramuni	MWI
May River Airstrip	OC	PG	PG-ESW	May River	MRH
Simberi Airport	OC	PG	PG-NIK	Simberi Island	NIS
Sila Airport	OC	PG	PG-NPP	Sila Mission	SIL
Sabah Airport	OC	PG	PG-NSB	Sabah	SBV
Simbai Airport	OC	PG	PG-MPM	Simbai	SIM
Selbang Airport	OC	PG	PG-WPD	Selbang	SBC
Tapini Airport	OC	PG	PG-CPM	Tapini	TPI
Tekin Airport	OC	PG	PG-SAN	Tekin	TKW
Tep Tep Airport	OC	PG	PG-MPM	Teptep	TEP
Tsewi Airport	OC	PG	PG-MPL	Tsewi	TSW
Tarakbits Airport	OC	PG	PG-WPD	Tarakbits	TRJ
Tawa Airport	OC	PG	PG-MPL	Tawa	TWY
Tekadu Airport	OC	PG	PG-MPL	Tekadu	TKB
Aiyura Airport	OC	PG	PG-EHG	Aiyura Valley	AYU
Umba Airport	OC	PG	PG-MPL	Umba	UMC
Uroubi Airport	OC	PG	PG-NPP	Uroubi	URU
Upiara Airport	OC	PG	PG-WPD	Upiara	UPR
Uvol Airport	OC	PG	PG-EBR	Uvol	UVO
Torembi Airport	OC	PG	PG-ESW	Torembi	TCJ
Tonu Airport	OC	PG	PG-NSB	Tonu	TON
Wabo Airport	OC	PG	PG-GPK	Wabo	WAO
Wonenara Airport	OC	PG	PG-EHG	Wonenara	WOA
Wasu Airport	OC	PG	PG-MPL	Wasu	WSU
Woitape Airport	OC	PG	PG-CPM	Fatima Mission	WTP
Wau Airport	OC	PG	PG-SAN	Wau	WUG
Yeva Airport	OC	PG	PG-MPL	Yeva	YVD
Sim Airport	OC	PG	PG-MPL	Sim	SMJ
Yalumet Airport	OC	PG	PG-MPL	Yalumet	KYX
Yasuru Airport	OC	PG	PG-MPL	Yasuru	KSX
Lava Falls Heliport	NA	US	US-AZ	Supai Village	HAE
Branson Airport	NA	US	US-MO	Branson	BKG
Bambu Airport	OC	PG	PG-MPM	Bambu	BCP
Willmar Municipal -John L Rice Field	NA	US	US-MN	Willmar	ILL
Bomai Airport	OC	PG	PG-CPK	Bomai	BMH
Bamu Airport	OC	PG	PG-WPD	Bamu	BMZ
Bodinumu Airport	OC	PG	PG-CPM	Bodinumu	BNM
Bundi Airport	OC	PG	PG-MPM	Bundi	BNT
Bolling Air Force Base	NA	US	US-DC	Washington	BOF
Brookings Airport	NA	US	US-OR	Brookings	BOK
Bosset Airport	OC	PG	PG-WPD	Bosset	BOT
Bartlett Cove Seaplane Base	NA	US	US-AK	Gustavus	BQV
Bensbach Airport	OC	PG	PG-WPD	Bensbach	BSP
Bulolo Airport	OC	PG	PG-MPL	Bulolo	BUL
Bewani Airport	OC	PG	PG-SAN	Bewani	BWP
Bunsil Airport	OC	PG	PG-MPL	Bunsil - Umboi Island	BXZ
Boundary Airport	NA	US	US-AK	Boundary	BYA
Trail Airport	NA	CA	CA-BC	Trail	YZZ
Whistler/Green Lake Water Aerodrome	NA	CA	CA-BC	Whistler	YWS
Bamfield Seaplane Base	NA	CA	CA-BC	Bamfield	YBF
Chilko Lake (Tsylos Park Lodge) Airport	NA	CA	CA-BC	Chilko Lake	CJH
Ocean Falls Seaplane Base	NA	CA	CA-BC	Ocean Falls	ZOF
Anahim Lake Airport	NA	CA	CA-BC	Anahim Lake	YAA
Douglas Lake Airport	NA	CA	CA-BC	Douglas Lake	DGF
Fort MacKay/Albian Aerodrome	NA	CA	CA-AB	Albian Village	JHL
Tahsis Seaplane Base	NA	CA	CA-BC	Tahsis	ZTS
Duncan Airport	NA	CA	CA-BC	Duncan	DUQ
Ganges Seaplane Base	NA	CA	CA-BC	Salt Spring Island	YGG
Bob Quinn Lake Airport	NA	CA	CA-BC	Bob Quinn Lake	YBO
Williams Harbour Airport	NA	CA	CA-NL	Williams Harbour	YWM
Black Tickle Airport	NA	CA	CA-NL	Black Tickle	YBI
St. Lewis (Fox Harbour) Airport	NA	CA	CA-NL	St. Lewis	YFX
Port Hope Simpson Airport	NA	CA	CA-NL	Port Hope Simpson	YHA
Rigolet Airport	NA	CA	CA-NL	Rigolet	YRG
George T Lewis Airport	NA	US	US-FL	Cedar Key	CDK
Diavik Airport	NA	CA	CA-NT	Diavik	DVK
Colville Lake Airport	NA	CA	CA-NT	Colville Lake	YCK
Fairview Airport	NA	CA	CA-AB	Fairview	ZFW
